"chrom","context","reads","av_meth"
"ptg000192l_RagTag","CHH",564,9.03669724770642
"ptg000195l","CpG",130,77.9166666666667
"ptg000195l_RagTag","CHG",176,4.43037974683544
"ptg000195l_RagTag","CHH",844,3.7037037037037
"ptg000196l","CpG",132,66
"ptg000196l_RagTag","CHG",146,2.56153846153846
"ptg000196l_RagTag","CHH",612,5.78989898989899
"ptg000199l","CpG",148,60.9915966386555
"ptg000199l_RagTag","CHG",435,2.34604105571848
"ptg000199l_RagTag","CHH",812,4.2953125
"ptg000206l","CpG",250,87.959595959596
"ptg000206l_RagTag","CHG",262,12.3592233009709
"ptg000206l_RagTag","CHH",807,2.04755614266843
"ptg000213l","CpG",8,25
"ptg000213l_RagTag","CHG",6,16.6666666666667
"ptg000213l_RagTag","CHH",17,0
"ptg000215l","CpG",13,61.5384615384615
"ptg000215l_RagTag","CHG",36,0
"ptg000215l_RagTag","CHH",212,0
"ptg000219l","CpG",108,76.1764705882353
"ptg000219l_RagTag","CHG",352,3.07920792079208
"ptg000219l_RagTag","CHH",659,7.84875444839858
"ptg000220l","CpG",11,100
"ptg000220l_RagTag","CHG",5,0
"ptg000220l_RagTag","CHH",31,0
"ptg000222l","CpG",13,55.5555555555556
"ptg000222l_RagTag","CHG",24,2.94117647058824
"ptg000222l_RagTag","CHH",104,11.7647058823529
"ptg000223l","CpG",7,71.4285714285714
"ptg000223l_RagTag","CHG",13,0
"ptg000223l_RagTag","CHH",42,0
"ptg000224l","CpG",293,85.4306930693069
"ptg000224l_RagTag","CHG",509,29.7945205479452
"ptg000224l_RagTag","CHH",963,31.9896774193548
"scaffold_1","CpG",902890,77.4853366383469
"scaffold_10","CpG",754688,76.770290459285
"scaffold_11","CpG",680724,76.8882414286584
"scaffold_12","CpG",707330,76.4791756370252
"scaffold_13","CpG",692598,76.2588126002871
"scaffold_14","CpG",678543,76.9722109463558
"scaffold_15","CpG",699128,77.2073767469609
"scaffold_16","CpG",537569,77.6755229813426
"scaffold_17","CpG",620048,77.0527830611578
"scaffold_18","CpG",616823,77.9505269733369
"scaffold_19","CpG",715758,76.4946908239015
"scaffold_2","CpG",853603,77.6957697205851
"scaffold_20","CpG",675626,77.1886942522567
"scaffold_21","CpG",558155,77.1575727283666
"scaffold_22","CpG",637993,77.3082642416666
"scaffold_23","CpG",516100,77.3964094280235
"scaffold_24","CpG",401277,78.1832874493927
"scaffold_3","CpG",726811,76.1939898093792
"scaffold_4","CpG",658760,76.6802980583559
"scaffold_5","CpG",839888,77.5135106815744
"scaffold_6","CpG",811797,77.6588254491875
"scaffold_7","CpG",713112,76.8837894191023
"scaffold_8","CpG",722746,76.0300504825273
"scaffold_9","CpG",788096,76.9940084973981
