"chrom","context","total_reads","mean_meth","median_meth","sd_meth"
"genome_hic_scaffold_2_RagTag","CHH",5581311,3.59198486735111,0,17.5295992822121
"genome_hic_scaffold_3_RagTag","CHH",4574186,3.55758415553164,0,17.4499507193378
"genome_hic_scaffold_4_RagTag","CHH",4144722,3.54707360660361,0,17.414874014274
"genome_hic_scaffold_5_RagTag","CHH",5287625,3.60054536311194,0,17.5782850234266
"genome_hic_scaffold_6_RagTag","CHH",5110289,3.62455963637419,0,17.6184882517815
"genome_hic_scaffold_7_RagTag","CHH",4454693,3.63576473967951,0,17.6228499585945
"genome_hic_scaffold_8_RagTag","CHH",4793803,3.55587983802961,0,17.4669015911321
"genome_hic_scaffold_9_RagTag","CHH",4972047,3.58853948193762,0,17.5335491065598
"phage_lambda","CHH",3962,4.70206401435836,0,20.2492935337776
"plasmid_puc19c","CHH",515,3.11898734177215,0,14.7322471324271
"ptg000052l_RagTag","CHH",504,12.0384615384615,0,30.1964773081059
"ptg000056l_RagTag","CHH",21629,7.42400240024002,0,24.5559287937684
"ptg000058l_RagTag","CHH",6408,6.81045025013897,0,24.3526304497724
"ptg000064l_RagTag","CHH",868,7.198127925117,0,25.6778064968537
"ptg000065l_RagTag","CHH",33,51.5151515151515,100,50.7519218922552
"ptg000067l_RagTag","CHH",470,7.75862068965517,0,26.7808063468999
"ptg000071l_RagTag","CHH",13075,5.12644230769231,0,20.9325126630702
"ptg000106l_RagTag","CHH",1103,4.9097510373444,0,20.8304022446566
"ptg000117l_RagTag","CHH",443,5.25214899713467,0,21.870951900528
"ptg000118l_RagTag","CHH",66,12.1212121212121,0,32.8874608564584
"ptg000121l_RagTag","CHH",9859,5.26688344172086,0,21.2437901627681
"ptg000131l_RagTag","CHH",12337,4.88979187314172,0,20.6449951325374
"ptg000133l_RagTag","CHH",817,9.60490463215259,0,29.1953345789665
"ptg000137l_RagTag","CHH",1671,5.76142857142857,0,22.697096657306
"ptg000139l_RagTag","CHH",289,8.39086294416244,0,27.4437182464458
"ptg000143l_RagTag","CHH",1220,6.38654618473896,0,22.8338587462807
"ptg000146l_RagTag","CHH",229,6.95187165775401,0,25.5016936866292
"ptg000147l_RagTag","CHH",325,10.8196721311475,0,28.7326305071279
"ptg000152l_RagTag","CHH",25,0,0,0
"ptg000156l_RagTag","CHH",64,0,0,0
"ptg000157l_RagTag","CHH",1127,3.89676113360324,0,18.8981558214151
"ptg000158l_RagTag","CHH",196,23.0505050505051,0,39.0257303236383
"ptg000161l_RagTag","CHH",2072,5.99162178336326,0,22.6916044342259
"ptg000164l_RagTag","CHH",380,6.77880184331797,0,20.9613160555342
"ptg000165l_RagTag","CHH",2427,7.09637939826619,0,24.7240152637493
"ptg000168l_RagTag","CHH",16,0,0,0
"ptg000173l_RagTag","CHH",33,15.1515151515152,0,36.410954062721
"ptg000175l_RagTag","CHH",324,16.6619718309859,0,22.8922592419183
"ptg000176l_RagTag","CHH",5387,4.97304582210243,0,21.1546751292582
"ptg000179l_RagTag","CHH",162,4.93827160493827,0,21.7337620854145
"ptg000180l_RagTag","CHH",83,3.17460317460317,0,15.2215251689514
"ptg000181l_RagTag","CHH",115,7.36842105263158,0,25.2312928938932
"ptg000184l_RagTag","CHH",1536,5.27611940298507,0,18.6225235111186
"ptg000189l_RagTag","CHH",96,6.41025641025641,0,23.2978656273604
"ptg000192l_RagTag","CHH",564,9.03669724770642,0,26.9006436210673
"ptg000195l_RagTag","CHH",844,3.7037037037037,0,18.5312329165275
"ptg000196l_RagTag","CHH",612,5.78989898989899,0,22.0683585336641
"ptg000199l_RagTag","CHH",812,4.2953125,0,19.6262888570327
"ptg000206l_RagTag","CHH",807,2.04755614266843,0,13.8169384572644
"ptg000213l_RagTag","CHH",17,0,0,0
"ptg000215l_RagTag","CHH",212,0,0,0
"ptg000219l_RagTag","CHH",659,7.84875444839858,0,25.6321901048044
"ptg000220l_RagTag","CHH",31,0,0,0
"ptg000222l_RagTag","CHH",104,11.7647058823529,0,26.0848887730092
"ptg000223l_RagTag","CHH",42,0,0,0
"ptg000224l_RagTag","CHH",963,31.9896774193548,0,44.901153530807
